"","DISCIPLINE","DISC_NAME","TOTTTD","AGE","MEAN_AGE","DEPENDS","MALE","MARITAL","CITIZ","MEAN_CITIZ","PHDCY","PHDMONTH","RACE","AMERIND","ASIAN","BLACK","HAWAIIAN","WHITE","HISPANIC","HISPORIG"
"141",1,"Life Sciences    ",4.41409993155366,27.58111,34.62594,0,0,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"142",1,"Life Sciences    ",7,29.24162,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"143",1,"Life Sciences    ",6,28.4141,34.62594,0,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"144",1,"Life Sciences    ",7,29.16701,34.62594,0,0,0,0,0.62,2005,5,9,2,2,2,2,1,1,3
"145",1,"Life Sciences    ",8.41409993155366,29.83299,34.62594,1,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"146",1,"Life Sciences    ",12.915126625599,34.49624,34.62594,2,0,1,0,0.62,2005,5,3,2,1,2,2,2,2,NA
"147",1,"Life Sciences    ",10.832991101985,34.24162,34.62594,2,0,1,0,0.62,2005,5,3,2,1,2,2,2,2,NA
"148",1,"Life Sciences    ",15.7481177275838,38.16701,34.62594,1,1,1,0,0.62,2005,5,3,2,1,2,2,2,2,NA
"149",1,"Life Sciences    ",7,29.74812,34.62594,0,1,0,1,0.62,2005,5,12,NA,NA,NA,NA,NA,2,NA
"150",1,"Life Sciences    ",NA,29.32649,34.62594,0,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"151",1,"Life Sciences    ",19.0821355236139,40.83299,34.62594,0,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"152",1,"Life Sciences    ",8,30.08214,34.62594,0,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"153",1,"Life Sciences    ",9.7481177275838,33,34.62594,0,0,0,0,0.62,2005,5,5,2,2,1,2,2,2,NA
"154",1,"Life Sciences    ",6,28.83299,34.62594,NA,1,NA,1,0.62,2005,5,12,NA,NA,NA,NA,NA,2,NA
"155",1,"Life Sciences    ",7,29.74812,34.62594,0,0,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"156",1,"Life Sciences    ",6.91512662559899,39.24162,34.62594,0,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"157",1,"Life Sciences    ",6,30.66324,34.62594,2,0,1,1,0.62,2005,5,12,NA,NA,NA,NA,NA,2,NA
"158",1,"Life Sciences    ",8.83299110198504,31.83299,34.62594,0,0,0,0,0.62,2005,5,8,2,2,2,2,1,1,2
"159",1,"Life Sciences    ",9,30.49624,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"160",1,"Life Sciences    ",7,28.74812,34.62594,0,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"161",1,"Life Sciences    ",8,32.08214,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"162",1,"Life Sciences    ",5.41409993155366,26.66324,34.62594,0,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"163",1,"Life Sciences    ",18.832991101985,40.83299,34.62594,2,0,1,1,0.62,2005,5,3,2,1,2,2,2,2,NA
"164",1,"Life Sciences    ",6.91512662559899,34.32649,34.62594,1,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"165",1,"Life Sciences    ",9,30.83299,34.62594,0,0,0,0,0.62,2005,5,3,2,1,2,2,2,2,NA
"166",1,"Life Sciences    ",8.41409993155366,32.74812,34.62594,0,1,1,1,0.62,2005,5,3,2,1,2,2,2,2,NA
"167",1,"Life Sciences    ",NA,32.49624,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
