AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
1112,K,7,2,2,4,1,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,2,1,4,4,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4
1113,E,7,3,1,4,2,4,4,4,4,2,2,1,1,4,2,4,4,4,3,4,2,4,4,4,4,4,4,1,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,2,4,1,4,4,4,4,3
1114,K,7,2,3,4,1,4,1,2,2,4,2,3,2,4,4,3,2,4,4,3,4,4,2,1,4,4,2,1,4,4,2,4,4,4,2,4,4,2,3,4,4,2,4,4,2,3,2,4,2,4,4,2,4,4
1115,K,7,2,2,3,2,3,1,4,4,4,4,1,4,3,4,4,4,4,4,4,1,4,4,1,4,3,3,4,4,4,3,1,3,4,4,4,4,4,4,4,2,4,4,4,3,4,3,3,4,4,4,4,4,4
1116,E,7,2,4,4,1,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,2,2,1,1,2,3,2,2,3,4,4
1117,K,7,2,3,4,1,3,1,3,4,3,4,4,4,3,3,4,4,4,3,4,2,3,4,4,2,4,4,1,4,3,3,4,4,4,3,3,4,3,4,4,4,3,3,4,3,2,4,1,1,2,3,1,4,4
1118,E,7,2,4,4,2,4,1,3,4,2,4,4,4,2,2,4,4,4,4,4,4,2,4,4,4,2,2,1,1,4,2,4,4,4,2,2,4,2,4,2,4,2,4,4,2,2,2,4,4,4,4,1,4,2
1119,K,7,3,2,4,1,4,1,4,4,3,3,4,1,4,2,3,4,4,4,4,3,4,4,1,4,4,3,1,2,4,4,3,4,4,2,4,4,4,4,4,4,4,3,4,3,4,2,4,4,3,4,3,4,4
1120,K,7,2,3,4,1,3,1,2,2,4,2,2,4,4,3,2,2,4,4,4,2,4,4,2,4,2,4,2,2,4,2,4,4,4,4,4,4,2,4,4,2,2,4,2,2,4,4,2,2,4,4,2,4,3
1121,K,7,3,1,4,1,2,1,2,4,4,1,1,4,4,1,4,4,4,4,4,3,3,4,4,4,4,1,1,4,4,2,3,2,3,4,4,4,4,4,3,4,3,4,4,3,3,1,1,2,2,2,2,4,4
1122,E,7,3,4,4,2,3,4,2,4,4,4,2,4,4,2,2,1,4,4,1,2,4,4,4,1,4,4,3,3,1,4,2,4,4,1,3,3,4,4,1,2,4,2,4,4,3,1,3,2,4,4,4,1,4
1123,E,7,4,4,4,1,4,1,4,3,4,4,2,4,4,4,4,4,4,4,3,2,4,4,1,4,4,4,1,1,4,4,3,4,4,4,4,4,3,4,1,4,4,4,4,4,4,4,1,4,4,4,3,4,4
1124,K,7,2,4,4,1,2,4,4,3,2,1,4,2,3,1,3,4,3,2,4,2,3,2,1,3,4,2,3,1,4,2,4,3,4,3,2,3,4,2,4,4,2,1,3,2,3,1,3,2,2,3,2,4,3
1125,K,7,3,1,4,1,4,1,4,4,4,2,2,3,4,1,2,4,4,4,4,1,2,4,2,4,4,4,2,1,4,2,1,4,4,1,3,4,4,1,3,4,4,3,4,1,3,1,3,4,1,4,1,4,3
1126,K,7,2,4,4,3,4,4,4,4,2,1,1,4,4,3,2,4,4,4,4,4,2,4,3,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,1,4,3,4,4,4,4,2
1127,K,7,2,1,4,1,4,2,2,4,4,3,2,4,3,2,2,4,4,4,4,1,2,4,4,4,4,1,3,4,4,3,2,4,3,4,1,4,3,4,3,3,4,4,2,4,2,4,1,4,1,4,2,4,4
1128,K,7,2,1,4,1,4,1,4,3,3,2,1,4,3,1,3,3,3,3,4,2,3,3,4,4,4,2,1,3,4,3,2,4,4,2,3,3,4,4,2,1,3,4,3,1,2,4,2,4,2,3,4,2,2
1129,K,7,2,3,4,1,4,1,4,2,2,4,2,4,3,2,4,3,4,4,4,2,4,3,2,4,4,2,1,4,4,3,2,4,3,4,3,4,4,4,3,2,4,2,4,2,3,4,1,4,3,4,3,3,4
1130,K,7,4,2,4,1,4,1,4,3,4,2,1,1,4,2,4,4,4,4,4,2,4,4,1,4,4,1,1,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,1,2,4,1,4,4
1131,K,7,2,2,4,1,1,1,4,4,2,4,2,4,4,2,2,4,4,4,4,2,4,2,2,4,2,2,2,1,2,2,2,2,4,2,4,2,4,2,4,2,3,2,2,1,2,2,2,2,3,2,1,2,2
1132,K,7,2,1,4,2,4,1,4,2,4,1,3,4,4,4,4,3,4,4,4,4,3,4,2,3,3,4,2,4,3,4,2,4,4,2,3,4,4,3,4,4,2,4,2,4,4,2,4,2,2,4,1,4,4
1133,K,7,2,1,4,1,4,1,4,2,4,3,2,4,2,2,2,4,4,4,4,3,2,4,2,4,2,2,1,4,2,4,3,2,4,4,4,2,4,2,3,4,4,2,2,3,1,4,2,4,3,2,1,4,3
1134,K,7,1,4,4,1,4,1,4,3,4,3,1,1,2,4,3,4,4,4,4,3,4,4,3,4,4,4,1,4,4,3,1,4,4,4,4,4,3,1,1,1,4,4,4,3,4,3,1,4,1,2,4,4,3
1135,K,7,2,1,3,1,4,1,4,4,3,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,2,4,4,4,4,4,3,4,4,3,1,4,3,4,4,3,4,3,4,4,3,4,4
1136,K,7,2,4,4,2,4,1,4,4,4,4,2,4,4,2,3,4,3,2,4,3,4,3,2,4,3,4,3,3,4,3,3,4,4,4,4,3,4,2,3,3,4,4,3,3,2,4,3,4,2,2,1,4,3
1137,E,7,4,3,4,1,4,1,4,4,4,2,1,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4,1,2,4,3,4,3,2,4,4,4,3,2,3,3,1,2,4,4,4,1,4,4,3,4,2,3,4
1138,E,7,4,2,3,1,3,1,4,4,4,1,3,4,4,1,2,4,4,4,3,1,4,4,1,4,4,3,1,4,4,1,1,4,4,3,4,2,3,4,4,3,3,1,4,3,4,1,4,1,1,4,1,4,4
1139,E,7,4,3,4,1,3,2,4,3,4,2,2,4,4,3,3,4,4,3,4,3,4,4,1,4,4,4,3,3,4,3,4,4,4,3,3,3,2,4,4,2,4,4,3,3,4,3,4,3,3,4,2,4,3
1140,E,7,4,3,4,1,4,1,4,4,4,3,2,4,4,2,4,4,4,4,4,2,3,4,3,4,3,3,1,1,4,4,1,3,4,3,4,4,3,1,4,1,4,1,4,3,1,4,3,3,4,3,1,4,4
1141,K,7,2,4,2,1,2,3,4,4,2,1,4,3,2,4,2,3,4,2,4,3,4,3,4,4,4,4,3,2,4,4,4,2,2,4,1,3,4,2,4,4,2,3,4,2,3,4,1,1,3,2,4,3,4
1142,K,7,4,3,4,1,4,1,3,4,4,3,3,3,4,3,3,4,4,4,4,3,4,3,1,3,4,3,1,1,4,3,3,3,4,3,3,4,3,4,4,4,3,4,2,2,4,4,3,2,4,4,3,4,3
1144,E,7,2,1,1,1,3,1,4,3,2,4,2,4,4,1,2,4,4,4,4,3,1,4,4,4,3,1,1,4,4,3,2,4,4,1,4,4,3,4,4,3,4,4,4,1,1,4,3,4,1,2,4,4,4
1145,K,7,2,3,4,1,4,1,4,4,2,4,1,4,4,2,2,4,4,4,4,4,2,2,3,4,4,3,1,2,4,3,2,4,4,1,4,4,4,3,4,4,1,2,4,2,2,4,4,3,4,2,3,2,4
1146,K,7,4,3,4,2,2,1,3,3,3,1,2,1,4,1,4,4,4,4,4,1,1,4,1,1,4,4,1,2,3,4,1,3,2,1,4,4,3,4,3,1,2,3,4,4,1,2,3,1,3,1,1,4,4
1147,K,7,1,3,4,1,1,2,4,3,1,1,1,4,2,1,3,4,3,4,3,1,1,1,4,1,2,3,1,4,2,3,1,1,4,4,3,2,3,1,3,1,1,1,2,3,1,4,1,1,1,1,1,2,4
1148,E,7,3,2,4,1,2,4,2,4,2,3,2,3,4,2,1,3,2,2,1,2,3,2,3,1,4,1,3,2,4,3,2,1,2,4,2,1,2,4,2,3,1,2,4,3,1,2,4,1,4,2,3,2,1
1149,E,7,3,2,4,1,4,2,4,4,2,1,1,1,4,2,1,2,4,1,4,2,1,2,1,4,4,2,1,1,2,4,4,4,2,3,3,4,1,2,4,3,4,2,4,3,4,2,2,4,1,4,1,2,4
1150,E,7,1,1,4,3,4,1,4,4,1,4,1,4,2,1,2,3,4,3,2,1,1,4,1,4,1,2,1,4,4,4,1,3,4,4,4,2,1,1,2,4,4,3,4,4,2,2,4,4,2,3,4,1,1
1152,K,7,2,3,4,4,4,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
1153,K,7,2,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,1,1,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,3,2,2,3,4,4,3,4,4,4,3,4,4
1154,E,7,4,3,1,3,4,2,1,2,4,1,4,3,1,3,3,2,1,1,2,4,3,2,4,1,4,1,2,3,1,4,2,3,1,4,3,2,1,2,2,2,1,1,1,3,1,2,2,3,1,1,2,4,2
1155,E,7,3,2,3,3,1,2,3,2,2,3,4,3,2,3,3,4,4,4,3,1,1,4,2,4,3,2,3,4,3,3,4,2,3,3,2,1,4,3,1,3,2,1,2,2,1,3,4,2,2,3,4,4,4
1156,E,7,1,1,3,4,2,4,3,3,3,2,2,4,3,1,1,4,4,1,4,1,2,4,4,4,3,1,4,2,1,1,2,1,3,4,4,3,4,2,3,1,1,2,1,3,3,1,3,1,3,1,1,1,4
1157,K,7,2,1,2,1,4,1,4,4,3,1,2,4,4,2,2,3,3,1,4,4,1,3,1,4,4,2,1,4,4,4,3,2,4,4,2,1,1,4,4,1,3,4,3,1,1,4,1,3,3,1,1,2,1
1158,K,7,3,4,4,1,4,1,4,4,4,4,3,4,3,4,4,4,3,4,4,3,3,4,3,4,4,3,3,4,3,4,3,4,3,4,4,3,2,4,4,3,4,2,4,4,2,4,3,4,3,4,2,3,4
1159,E,7,2,2,2,3,4,1,2,4,2,4,1,1,4,3,2,4,4,2,4,3,1,2,2,2,2,3,2,1,2,1,1,3,4,4,2,3,3,2,4,1,2,3,2,3,1,2,2,2,3,3,1,2,2
1161,K,7,2,2,2,1,4,1,1,4,4,2,4,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,1,1,2,3,4
1162,K,7,3,1,2,1,2,1,4,3,2,2,1,4,2,3,2,4,4,4,4,1,3,4,4,2,3,2,1,4,4,3,2,4,4,1,4,4,4,4,4,2,4,1,4,1,1,4,2,4,4,4,4,4,2
1163,K,8,3,2,4,1,2,1,2,3,2,4,4,1,2,1,2,4,4,4,4,3,2,4,1,2,4,3,1,1,4,2,2,4,2,2,4,4,3,4,4,2,1,3,2,1,4,4,3,1,1,2,1,4,3
1164,K,8,2,2,3,1,3,1,2,3,2,1,2,3,1,2,3,1,2,3,4,1,2,2,1,3,1,2,3,2,1,3,4,3,2,3,2,1,4,2,3,1,3,2,4,2,3,4,2,2,1,1,2,4,4
1165,K,8,4,2,1,4,4,2,2,4,4,4,4,2,3,4,2,4,4,1,3,2,1,3,3,3,4,3,2,1,2,3,4,2,2,3,1,2,4,2,4,4,2,4,1,2,4,1,2,3,4,4,4,4,4
1166,K,8,3,1,4,1,2,1,4,4,4,2,1,2,4,3,3,4,4,4,4,1,3,4,4,4,4,4,3,4,4,2,2,4,4,1,4,4,4,3,4,4,4,1,3,1,4,3,2,4,4,3,2,3,4
1167,K,8,2,4,4,3,2,3,4,2,4,3,1,2,4,4,2,2,4,4,4,1,2,1,1,4,4,2,1,3,4,2,4,2,4,2,4,2,4,4,2,4,4,1,4,1,3,4,4,3,2,4,1,4,3
1168,K,8,2,1,2,2,3,1,3,2,4,1,2,3,2,1,2,2,3,4,4,1,4,2,2,2,2,2,4,2,2,1,1,4,3,3,1,3,1,2,2,2,4,1,2,4,2,3,2,1,2,1,1,3,3
1169,K,8,1,3,4,1,4,4,1,3,4,1,2,4,4,3,2,4,4,4,4,1,1,4,1,2,4,2,2,2,4,4,1,4,4,1,1,4,2,4,4,2,1,1,4,4,1,4,1,1,4,3,1,4,3
1170,K,8,2,3,4,2,1,4,2,4,1,3,4,3,2,1,4,3,2,1,4,3,4,1,3,2,4,2,1,3,2,4,3,4,2,1,3,4,4,2,1,3,2,1,3,4,3,2,1,3,4,2,3,1,3
1171,K,8,2,2,4,1,2,1,4,4,2,2,1,1,4,2,2,4,2,2,4,1,2,2,2,2,4,2,2,4,2,1,2,4,2,1,4,1,3,4,1,4,1,1,4,3,3,3,4,4,1,1,3,4,3
1172,K,8,2,1,2,1,3,4,4,4,2,1,2,4,2,1,4,4,4,4,3,2,4,4,2,4,4,1,2,4,4,3,4,2,4,2,4,4,2,2,4,2,2,4,2,2,1,2,2,4,2,4,2,4,2
1173,E,7,2,1,4,1,4,1,4,4,4,2,1,1,4,2,2,2,4,2,4,3,2,4,1,2,4,3,1,4,4,3,2,4,3,1,3,4,4,2,4,4,2,2,4,1,2,4,4,2,1,2,4,4,2
1174,K,7,4,4,1,2,3,4,2,3,4,2,2,4,1,3,4,2,2,3,3,2,4,2,1,4,4,1,2,3,4,4,1,4,3,1,2,3,2,4,3,4,4,3,2,4,4,4,3,3,4,4,4,2,1
1175,K,7,2,3,4,2,4,1,4,4,3,2,3,1,3,4,4,3,3,2,4,3,4,3,2,4,3,3,1,2,3,4,4,3,4,2,4,3,4,3,2,4,1,3,3,3,4,3,4,2,3,3,1,3,4
1176,K,7,3,3,4,1,4,1,4,4,3,4,2,4,4,3,2,4,4,4,4,3,4,3,4,4,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,2,4,4
1177,K,7,3,4,4,1,4,1,4,4,4,3,4,1,4,4,3,4,4,4,4,4,4,4,1,4,4,4,2,4,4,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,4,4,2,3,1,4,4
1178,K,7,1,3,2,1,4,1,2,3,4,4,1,3,3,3,1,4,1,4,4,1,4,4,4,4,2,2,4,4,4,4,1,2,4,4,3,4,3,4,4,3,2,1,4,3,4,4,4,3,2,4,1,4,4
1179,K,7,3,1,4,1,2,1,4,4,3,2,3,4,3,2,3,3,4,4,4,1,3,4,1,3,4,3,3,4,3,2,4,3,1,2,1,4,3,4,4,3,3,1,4,1,3,2,2,4,3,4,3,4,4
1180,K,7,2,4,2,1,4,1,4,4,3,4,3,1,4,2,2,4,1,3,4,4,4,4,2,4,3,4,1,2,1,4,2,3,4,3,4,2,2,4,1,2,4,4,3,4,4,2,2,4,3,3,1,4,4
1181,K,7,3,4,4,1,4,1,4,4,4,2,3,2,4,3,4,4,4,4,4,3,4,4,1,4,4,4,1,1,3,4,3,4,4,4,4,3,4,4,2,4,4,4,4,3,4,3,4,4,2,2,1,4,4
1182,K,7,4,4,4,1,4,1,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,1,4,4
1183,K,7,4,4,4,1,4,1,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,2,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,3,1,1,4,4
1184,K,7,2,2,4,1,2,1,4,4,2,2,1,4,4,1,2,4,4,2,2,1,2,2,1,4,2,2,1,1,2,2,1,2,4,1,4,1,2,2,1,1,4,1,2,2,2,2,4,4,1,1,1,2,2
1185,K,7,4,1,1,1,4,1,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,1,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,1,4,1,4,4
1186,K,7,2,2,4,1,4,2,4,4,2,2,2,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,1,2,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,3,2,4,4,4,4,1,4,4
1187,K,7,2,3,4,3,4,1,4,4,4,2,3,4,4,1,4,4,4,4,4,1,4,4,4,4,3,3,1,3,4,4,4,4,4,3,4,4,4,4,3,4,3,2,4,4,4,2,4,4,4,4,2,4,4
1188,K,7,3,4,4,1,4,1,4,4,3,4,4,4,4,2,3,4,2,4,4,4,4,4,1,4,4,4,1,1,4,4,3,4,4,3,4,2,1,4,4,3,4,1,4,4,2,4,4,4,1,3,1,4,4
1189,K,7,3,4,4,1,3,1,4,3,4,4,1,3,3,2,3,4,4,4,3,1,3,4,2,3,4,2,4,1,4,2,3,4,4,2,3,4,3,4,4,4,3,4,3,2,2,2,4,3,2,3,4,4,4
1190,E,7,1,1,4,1,4,1,2,1,2,1,1,4,2,4,2,4,4,4,4,1,4,4,2,4,2,1,1,1,1,4,1,2,2,1,4,4,4,2,2,1,1,1,4,2,1,4,2,1,4,4,2,1,4
1191,K,7,2,4,4,1,4,2,4,4,4,2,2,3,4,2,2,4,4,4,4,2,4,4,1,4,4,4,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,1,4,4
1192,K,7,2,1,4,1,4,1,4,2,2,4,1,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,2,1,4,4,1,2,1,4,4,4,4,4,4,1,1,1,4,1,1,4,4,4,1,4,1,4,4
1193,E,7,3,1,4,1,3,1,4,1,4,4,1,4,4,1,2,4,4,4,1,1,4,4,1,4,3,3,1,4,4,4,1,4,4,4,4,4,4,4,3,1,4,1,3,2,1,4,4,4,1,3,1,4,4
1194,E,7,2,3,4,1,4,4,4,4,2,2,1,4,4,3,3,2,2,4,4,1,3,4,2,4,2,2,1,3,4,3,2,4,3,3,4,4,4,4,4,2,4,3,4,3,3,2,4,4,2,2,1,4,4
1195,K,7,4,4,2,2,2,1,4,4,2,4,3,1,4,2,2,4,4,4,4,2,4,4,1,2,4,2,1,1,4,4,3,4,4,3,4,4,2,4,2,1,4,1,4,4,4,4,2,4,1,4,1,4,4
1196,K,7,4,4,4,1,4,1,4,3,4,1,3,4,4,2,3,4,4,4,4,4,3,4,1,4,4,4,1,1,4,4,2,4,4,4,4,4,4,4,4,2,3,4,4,3,4,4,4,1,3,4,1,3,3
1197,K,7,2,4,4,1,4,4,4,4,2,1,3,1,4,1,2,4,4,4,4,1,4,4,1,2,2,4,1,1,1,4,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,2,1,1,1,4,4
1198,K,7,1,1,4,1,4,4,2,4,2,4,4,4,4,2,3,4,4,4,3,4,4,4,3,4,3,1,2,3,4,4,4,2,3,3,3,4,4,4,2,4,4,4,2,3,3,4,3,4,3,4,4,4,4
1199,K,7,3,4,4,4,4,4,3,4,3,1,2,4,4,3,4,4,4,4,3,2,4,4,3,3,4,3,4,2,1,2,4,4,4,3,3,3,4,4,4,4,4,3,4,4,3,2,3,2,3,3,4,4,4
1200,E,7,2,3,1,3,4,1,3,2,3,1,1,3,1,4,3,2,4,4,1,3,2,4,2,4,3,2,1,2,3,4,1,4,4,3,1,3,4,4,3,1,3,2,4,2,3,1,4,2,4,3,1,3,2
1202,E,7,4,2,2,1,2,1,4,2,2,2,2,4,2,3,2,4,4,4,2,2,2,4,1,2,4,2,3,3,4,3,2,4,4,2,4,4,4,2,4,4,2,2,2,2,2,1,4,4,2,1,4,4,4
1203,E,7,1,1,2,4,1,2,2,4,1,1,1,4,1,1,2,4,4,1,4,1,4,1,4,4,4,1,4,4,4,1,1,2,4,4,4,1,1,2,2,4,4,4,1,2,4,4,2,4,1,1,4,1,4
1204,K,8,3,3,4,2,2,3,1,4,2,4,1,2,3,2,3,4,4,2,3,1,4,2,1,4,4,2,2,3,4,4,2,3,4,4,4,4,3,1,4,2,3,4,2,3,1,2,3,1,4,4,4,4,3
1205,K,8,3,2,4,1,1,1,4,4,4,1,2,1,4,2,3,4,4,3,4,3,4,3,1,2,4,4,1,2,4,4,3,4,4,2,4,4,4,4,4,4,1,4,4,3,3,2,4,1,1,4,1,4,4
1206,K,8,2,1,4,4,2,1,4,4,2,1,1,4,2,2,3,4,3,2,3,4,4,4,4,4,3,2,1,4,2,4,3,2,2,4,4,2,1,1,2,1,4,4,2,3,2,4,3,4,1,2,4,4,4
1207,K,8,2,3,4,2,4,1,4,2,4,2,1,2,4,4,4,2,2,4,1,3,4,4,2,4,1,3,3,3,2,3,2,1,4,4,4,1,2,1,2,1,4,3,1,4,4,4,4,4,1,1,2,4,4
1208,K,8,4,2,4,3,4,1,4,3,4,1,1,2,4,1,2,4,2,2,4,4,4,4,1,4,4,4,1,1,2,2,4,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4
1209,E,8,2,1,4,1,4,1,4,4,4,4,2,1,4,4,2,4,4,4,4,2,4,4,1,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
1210,K,8,3,4,4,1,4,1,4,4,3,2,3,4,4,3,4,4,4,4,4,3,4,4,2,4,2,3,1,2,4,4,2,3,4,4,4,4,4,3,2,4,4,4,3,4,4,2,3,4,4,4,1,4,4
1211,E,8,2,1,3,4,2,1,3,2,1,4,1,4,2,1,1,4,4,3,1,1,1,1,4,3,1,2,4,4,2,3,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,3,2,4,2,1,4,2,1
1212,E,8,3,4,4,2,1,4,4,4,2,1,1,1,4,2,1,2,2,2,4,2,1,1,1,4,2,4,1,1,2,2,1,2,4,2,4,1,2,2,2,2,4,2,2,2,2,1,4,4,1,1,1,1,2
1213,E,8,2,3,4,3,3,1,2,2,2,1,1,3,3,1,1,4,3,3,4,1,3,3,1,2,3,2,3,4,4,4,2,1,3,2,3,2,3,1,2,4,4,1,1,4,3,4,2,3,1,1,3,2,2
1214,E,8,2,3,2,4,3,1,1,4,4,4,4,4,2,2,2,2,1,1,4,4,1,1,1,2,4,2,4,1,4,1,4,4,4,2,2,2,4,4,4,4,2,2,4,4,4,2,2,2,1,1,1,4,4
1215,K,8,3,1,4,1,2,4,3,2,2,4,1,2,4,3,3,2,4,4,4,1,3,4,4,2,3,2,3,4,4,2,2,4,3,1,2,4,2,2,3,4,3,4,4,3,2,4,3,2,4,4,3,4,4
1216,K,8,3,2,1,1,3,1,3,4,2,4,4,2,2,3,2,3,4,4,4,1,3,4,2,2,3,2,1,1,2,2,4,4,2,2,2,3,4,2,4,4,3,4,3,3,1,4,4,3,4,2,3,3,4
1217,K,8,3,2,3,1,4,2,4,4,2,1,2,2,4,2,2,4,4,4,2,2,2,4,2,4,4,2,1,2,4,2,2,2,1,2,3,4,2,3,4,4,3,4,1,1,2,4,3,4,4,4,3,4,4
1218,K,8,3,2,4,1,4,1,2,2,2,1,3,2,2,2,3,4,4,4,4,2,1,4,4,2,4,2,1,1,4,3,4,4,2,2,4,4,4,2,4,4,2,2,4,4,1,2,4,4,2,4,2,4,4
1219,K,8,3,1,2,2,4,4,2,4,4,4,1,4,2,1,2,4,4,4,4,1,1,2,4,4,3,3,2,4,4,1,3,3,2,1,4,4,3,1,4,2,2,1,4,1,3,1,1,3,2,2,4,2,3
1220,K,8,4,3,4,1,2,1,4,4,4,3,2,4,3,3,4,4,4,4,4,2,4,4,3,4,3,3,1,1,4,4,2,3,4,3,4,4,3,4,2,4,4,1,4,4,3,3,4,4,3,4,1,4,3
1221,K,8,3,4,4,1,4,1,4,4,4,3,1,4,4,4,4,4,4,4,3,1,4,4,1,4,3,3,1,1,4,4,1,4,4,4,4,4,3,4,4,1,4,1,1,4,4,4,4,4,4,4,1,4,4
1222,K,8,2,4,4,1,2,1,4,2,4,4,1,4,4,2,4,4,4,4,4,2,4,3,1,4,2,3,1,1,4,1,2,4,4,4,4,2,2,1,1,1,4,2,1,4,1,2,4,4,2,1,1,2,2
1223,K,8,1,4,4,1,4,1,4,4,4,1,1,4,4,3,2,4,4,4,4,1,4,4,1,4,4,4,1,4,2,1,3,4,4,4,4,3,4,4,1,3,4,2,4,4,2,1,4,4,3,1,1,4,4
1224,K,8,2,4,4,1,2,1,4,4,4,2,1,4,2,1,2,4,2,3,4,1,1,3,1,4,2,4,1,3,2,1,1,4,4,1,4,2,1,2,2,4,2,2,2,1,1,2,4,4,1,4,1,4,4
1225,E,8,3,4,4,1,4,1,4,4,3,2,1,2,4,2,4,4,4,4,4,2,3,4,2,4,4,4,1,2,4,4,2,4,4,3,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,1,4,3
1226,E,8,3,2,1,2,4,1,3,4,3,2,2,2,4,2,2,3,4,3,4,2,3,4,1,3,3,4,1,2,4,4,3,2,4,2,4,3,4,3,4,4,2,3,4,4,3,4,4,4,3,3,2,3,4
1227,E,8,2,1,4,1,1,2,4,4,3,1,2,3,4,3,3,4,4,4,4,4,4,4,1,4,3,3,1,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,2,3,2,1,4,4,4,4,4,2
1228,K,8,2,2,3,2,2,3,4,4,2,2,3,2,4,2,1,2,1,1,3,1,2,4,2,3,2,1,1,2,2,1,1,2,1,1,4,3,1,1,4,1,2,1,2,3,1,1,2,1,3,2,1,3,1
1229,K,8,2,2,4,2,3,1,4,3,4,3,1,2,2,3,4,4,4,4,4,2,3,4,2,4,3,3,1,3,4,3,3,3,3,2,3,4,4,3,3,3,4,2,3,4,2,2,4,4,3,4,1,4,3
1230,K,8,2,3,4,1,4,1,2,4,4,2,1,3,4,2,3,2,4,2,4,1,4,3,4,4,3,2,1,1,3,4,1,2,4,4,4,4,3,3,2,4,4,4,2,4,4,3,3,4,1,1,1,2,1
1231,K,8,2,3,2,4,4,1,4,4,3,1,2,1,4,3,3,4,4,3,4,1,2,4,3,4,4,3,3,1,4,1,1,2,4,4,4,4,3,4,4,3,1,1,2,4,4,1,4,4,4,2,1,4,4
1232,E,8,3,1,4,4,2,1,3,4,4,4,1,4,3,1,4,3,4,4,4,1,1,3,4,4,2,2,1,4,3,1,1,1,3,3,1,2,1,3,1,2,1,1,4,4,4,1,2,4,2,1,2,4,1
1233,E,8,2,1,1,3,4,1,2,3,4,1,1,3,4,3,3,4,4,3,4,1,2,1,4,3,4,3,2,1,3,1,2,4,1,2,1,3,4,2,1,3,2,4,1,1,3,1,4,2,3,1,1,1,3
1234,E,8,2,1,3,1,4,1,1,1,4,4,1,2,4,3,4,4,4,4,4,2,4,4,2,2,4,3,4,3,2,3,2,4,4,4,4,3,3,4,4,4,4,3,2,4,2,3,4,2,4,2,2,3,4
1235,E,8,2,1,3,1,4,2,3,4,2,3,1,3,3,2,2,2,3,3,4,1,1,2,3,4,3,1,3,2,2,1,2,2,1,2,2,1,1,3,4,3,1,1,3,4,2,3,2,3,2,2,3,2,1
1236,E,8,2,3,2,3,1,3,3,2,2,1,1,2,2,1,4,3,4,4,4,1,1,4,2,4,2,2,1,1,4,1,2,3,1,1,1,4,3,1,4,2,1,1,4,1,3,1,3,1,4,1,1,1,1
1237,E,8,3,1,3,3,1,1,3,2,1,2,1,2,3,3,1,3,2,3,2,1,1,1,2,3,2,1,2,2,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,1,2,4,1,2,1,1,2,4
