"id","treatment","gender","course_taken","city","education","fathers_ed","mothers_ed","item1","item2","item3","item4","item5","item6","higher_ed","age","total_income","total_house_member","gen_att","income_per_member","wage01","wage","wagepr01","wagepr","incfm01","incfm","fmsup01","fmsp","fsupabr01","fsupabr","farm01","farm","pension01","pension","ueben01","ueben","rent01","rent","benf01","benf","combenf01","combenf","other01","other"
64281031,1,"Female ","Secretary, medical                               ","IZMIR     ","High School (Lycee)",NA,NA,3,1,2,1,1,2,0,23,15000,4,1.4,3750,"Yes",15000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
67843020,2,"Female ","Technician,Design applications                   ","ISTANBUL  ","Higher education of 2 years",NA,NA,4,3,1,1,1,NA,1,24,32000,5,1.5,6400,"Yes",20000,"Yes",3000,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
66922062,1,"Male   ","Operator, computer  (CAD softwares)              ","ANKARA    ","Vocational School",NA,NA,3,2,1,2,1,2,0,25,21600,5,1.6,4320,"Yes",12000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9600,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
65459029,1,"Male   ","Computerized Accounting Staff                    ","TEKIRDAG  ","University - Undergraduate degree",NA,NA,4,1,2,4,1,3,1,21,39000,4,2.2,9750,"Yes",30000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9000,"No",NA,"No",NA,"No",NA
65882018,2,"Female ","Cook, hot kitchen                                ","USAK      ","Vocational School","Primary School","Primary School",3,2,3,2,2,2,0,40,1000,1,2.2,1000,"No",NA,"No",NA,"No",NA,"Yes",1000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
66086047,1,"Male   ","Designer, web                                    ","ESKISEHIR ","High School (Lycee)",NA,NA,3,2,3,2,2,3,0,22,30000,3,2.4,10000,"Yes",30000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
68304054,1,"Male   ","Computerized Accounting Staff                    ","HATAY     ","High School (Lycee)","Primary School",NA,4,1,4,1,1,1,0,28,9300,5,1.6,1860,"No",NA,"No",NA,"Yes",6000,"Yes",3000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",300,"No",NA
64431016,2,"Female ","Foreign Trade Professional                       ","KAYSERI   ","High School (Lycee)",NA,NA,3,2,2,2,2,3,0,26,9600,3,2.2,3200,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9600,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64263009,2,"Female ","Weaver, carpet                                   ","BAYBURT   ","Primary School (5 years)","Junior High/ Middle School","Primary School",4,2,4,2,2,4,0,48,15000,6,2.8,2500,"Yes",15000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64373021,1,"Male   ","Designer, computer-aided                         ","SAKARYA   ","Higher education of 2 years",NA,NA,3,2,2,2,2,2,1,25,20760,4,2,5190,"Yes",9600,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",11160,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
66922066,1,"Male   ","Operator, computer  (CAD softwares)              ","ANKARA    ","University - Undergraduate degree",NA,NA,4,3,4,3,3,3,1,23,1800,1,3.2,1800,"No",NA,"No",NA,"No",NA,"Yes",1800,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
67803043,1,"Male   ","Designer                                         ","ISTANBUL  ","Junior High/ Middle School (8 years)","Primary School","Primary School",4,2,4,1,2,4,0,28,10800,3,2.6,3600,"Yes",10800,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
65461024,1,"Male   ","Operator, Truck/Fork-lift                        ","TEKIRDAG  ","Primary School (5 years)","Primary School","Primary School",4,3,1,1,1,1,0,44,6600,4,1.4,1650,"No",NA,"No",NA,"Yes",600,"Yes",6000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
